web-scraper-order,web-scraper-start-url,text
"1744268189-33","https://www.plonkit.net/united-states","This is an example of the most common type of orange construction barrel in the United States. They are made out of orange plastic with horizontal white stripes and a black rubber base. They are usually used to block off lanes to traffic during times of road construction."
"1744268189-34","https://www.plonkit.net/united-states","The US uses yellow middle lines and white outer lines. Double middle lines are the most common.On divided roads, the outer line closest to the median will be yellow, and the other lines will usually be white.NOTE: Double middle lines are less common in Canada, but not rare – use this meta with caution. Furthermore, yellow road lines are very rare in Europe."
"1744268189-35","https://www.plonkit.net/united-states","The US uses yellow middle lines and white outer lines. Double middle lines are the most common."
"1744268189-36","https://www.plonkit.net/united-states","Interstate highways, US highways, and some state roads have rumble strips in each edge of the road; which are small indentations in the pavement perpendicular to the road. These can be located on the outside edges of the road and in between lanes on multi-lane highways.NOTE: Rumble strips may appear in Canada, but are much more rare."
"1744268189-37","https://www.plonkit.net/united-states","Interstate highways, US highways, and some state roads have rumble strips in each edge of the road; which are small indentations in the pavement perpendicular to the road. These can be located on the outside edges of the road and in between lanes on multi-lane highways."
"1744268189-38","https://www.plonkit.net/united-states",": Rumble strips may appear in Canada, but are much more rare."
"1744268189-39","https://www.plonkit.net/united-states","Small, rectangular manufactured homes, also known as mobile or ‘trailer’ homes, are popular in rural areas of the US. In general, mobile homes are more common in the Southeast but they can be seen anywhere in the country.NOTE: This style of home can sometimes be seen in Canada, but to a much lesser extent."
"1744268189-40","https://www.plonkit.net/united-states","Small, rectangular manufactured homes, also known as mobile or ‘trailer’ homes, are popular in rural areas of the US. In general, mobile homes are more common in the Southeast but they can be seen anywhere in the country."
"1744268189-41","https://www.plonkit.net/united-states",": This style of home can sometimes be seen in Canada, but to a much lesser extent."
"1744268189-42","https://www.plonkit.net/united-states","Baptist churches are very common in the United States. Similar to mobile homes, these are more common in the Southern Plains and Southeast United States, but can be found in all 50 states. NOTE: Baptist churches are rare in Canada."
"1744268189-43","https://www.plonkit.net/united-states","Baptist churches are very common in the United States. Similar to mobile homes, these are more common in the Southern Plains and Southeast United States, but can be found in all 50 states."
"1744268189-44","https://www.plonkit.net/united-states",": Baptist churches are rare in Canada."
"1744268189-45","https://www.plonkit.net/united-states","Pictured here is a group of gas stations and convenience store chains that operate in the United States, but not in Canada. This is not a comprehensive list, but some of the most common American-only chains. Regional gas station chains are found near the end of the ‘Step 2’ section of this guide.You can click on the image to enlarge it."
"1744268189-46","https://www.plonkit.net/united-states","Pictured here is a group of gas stations and convenience store chains that operate in the United States, but not in Canada. This is not a comprehensive list, but some of the most common American-only chains. Regional gas station chains are found near the end of the ‘Step 2’ section of this guide."
"1744268189-47","https://www.plonkit.net/united-states","Pictured here is a group of restaurant chains that operate in the United States, but not in Canada (Chick Fil A is the only exception with a few locations in the Toronto area.) This is not a comprehensive list, but some of the most common American-only chains. Regional restaurant chains are found at the end of the ‘Step 2’ section of this guide.You can click on the image to enlarge it."
"1744268189-48","https://www.plonkit.net/united-states","Pictured here is a group of restaurant chains that operate in the United States, but not in Canada (Chick Fil A is the only exception with a few locations in the Toronto area.) This is not a comprehensive list, but some of the most common American-only chains. Regional restaurant chains are found at the end of the ‘Step 2’ section of this guide."
"1744268189-49","https://www.plonkit.net/united-states","In the US and Canada, especially at large intersections, long metal bars with stop lights attached to them hang over the street. These bars also commonly have street signs, highway signs, or other signs attached to them."
"1744268189-50","https://www.plonkit.net/united-states","In the US and Canada, especially at large intersections, long metal bars with stop lights attached to them hang over the street. These bars also commonly have street signs, highway signs, or other signs attached to them."
"1744268189-51","https://www.plonkit.net/united-states","Thin metal sign posts are common. They will typically either have several small holes or have a U-profile."
"1744268189-52","https://www.plonkit.net/united-states","Thin metal sign posts are common. They will typically either have several small holes or have a U-profile."
"1744268189-53","https://www.plonkit.net/united-states","North America primarily uses wooden utility poles. Several European countries also primarily use wooden utility poles. However, a concrete pole in particular is mostly associated with Europe."
"1744268189-54","https://www.plonkit.net/united-states","North America primarily uses wooden utility poles."
"1744268189-55","https://www.plonkit.net/united-states","This style of insulator, that is raised slightly on top of the utility pole, can be a good clue for the US and Canada. It is not typically found in Europe. It is especially apparent on simple poles with a single insulator."
"1744268189-56","https://www.plonkit.net/united-states","This style of insulator, that is raised slightly on top of the utility pole, can be a good clue for the US and Canada. It is not typically found in Europe. It is especially apparent on simple poles with a single insulator."
"1744268189-57","https://www.plonkit.net/united-states","This style of mailbox, resting on top of a post and with a small flag on the side, is mostly associated with North America."
"1744268189-58","https://www.plonkit.net/united-states","This style of mailbox, resting on top of a post and with a small flag on the side, is mostly associated with North America."
"1744268189-59","https://www.plonkit.net/united-states","North American semi-trucks have a longer nose, since the engine is in front of the driver’s cab. In contrast, European and Asian semi-trucks are cabovers, meaning the driver sits on top of the engine, giving the truck an L shape.NOTE: This is only useful to differentiate between North America and Europe, as these trucks are found throughout all of the Americas. Australian and New Zealand trucks are typically a mix of the two."
"1744268189-60","https://www.plonkit.net/united-states","North American semi-trucks have a longer nose, since the engine is in front of the driver’s cab. In contrast, European and Asian semi-trucks are cabovers, meaning the driver sits on top of the engine, giving the truck an L shape."
"1744268189-61","https://www.plonkit.net/united-states",": This is only useful to differentiate between North America and Europe, as these trucks are found throughout all of the Americas. Australian and New Zealand trucks are typically a mix of the two."
"1744268189-62","https://www.plonkit.net/united-states","Here are two common types of water towers seen in towns across the United States and Canada. They are typically very tall, and sometimes have the name of the town and state painted on them, so they can be useful for region guessing."
"1744268189-63","https://www.plonkit.net/united-states","Here are two common types of water towers seen in towns across the United States and Canada. They are typically very tall, and sometimes have the name of the town and state painted on them, so they can be useful for region guessing."
"1744268189-64","https://www.plonkit.net/united-states","Generation 3 coverage in the US and Canada generally has no visible antenna. This can be helpful to distinguish it from Europe in low-info rounds. Some European Generation 3 coverage has no visible antenna, but most of it does. There is an important exception: in national parks in the US, you can find a Generation 3 car with a stubby antenna with diagonal coils around it. Still, this specific type of antenna is not found in Europe."
"1744268189-65","https://www.plonkit.net/united-states","Generation 3 coverage in the US and Canada generally has no visible antenna. This can be helpful to distinguish it from Europe in low-info rounds. Some European Generation 3 coverage has no visible antenna, but most of it does."
"1744268189-66","https://www.plonkit.net/united-states","Shown here is the population density of the United States. In General, areas east of the Missouri river are more densely populated than areas to the west. You can click on the image to enlarge it."
"1744268189-67","https://www.plonkit.net/united-states","Shown here is the population density of the United States. In General, areas east of the Missouri river are more densely populated than areas to the west."
"1744268189-68","https://www.plonkit.net/united-states","The US, as well as most of the Americas, uses short licence plates, in contrast to longer European ones. Each US state has their own unique licence plate design. Some of these are recognizable through the blur, and are thus worth learning. Around half of the states also do not require front plates, which can also be useful in determining the state.You can click on the image to enlarge it. Here you can also find a map showing the locations of each plate."
"1744268189-69","https://www.plonkit.net/united-states","The US, as well as most of the Americas, uses short licence plates, in contrast to longer European ones. Each US state has their own unique licence plate design. Some of these are recognizable through the blur, and are thus worth learning. Around half of the states also do not require front plates, which can also be useful in determining the state."
"1744268189-70","https://www.plonkit.net/united-states","Interstate Highways are divided highways that often span large areas of the United States. Even-numbered Interstates are ordered south to north, with the lowest numbers along the Gulf Coast and Mexico border. Odd-numbered highways are ordered west to east, with the lowest numbers along the West Coast.US Highways are also typically long roads that are sometimes (but not always) divided. The numbering system is generally the inverse of Interstate Highways, with low odd-numbered highways located along the East Coast and low even-numbered highways located close to the Canadian border in the north of the country. NOTE: There are generally more exceptions to the US Highway numbering system than the Interstate Highway numbering system, in terms of placement.You can click on the image to enlarge it."
"1744268189-71","https://www.plonkit.net/united-states","Interstate Highways are divided highways that often span large areas of the United States. Even-numbered Interstates are ordered south to north, with the lowest numbers along the Gulf Coast and Mexico border. Odd-numbered highways are ordered west to east, with the lowest numbers along the West Coast."
"1744268189-72","https://www.plonkit.net/united-states","US telephone numbers start with a three-digit area code. While these area codes are not clustered by initial digits, they are useful to learn.You can click on the image to enlarge it."
"1744268189-73","https://www.plonkit.net/united-states","US telephone numbers start with a three-digit area code. While these area codes are not clustered by initial digits, they are useful to learn."
"1744268189-74","https://www.plonkit.net/united-states","Each of the 50 states has its own state flag. These appear frequently enough that they are worth learning.You can click on the image to enlarge it."
"1744268189-75","https://www.plonkit.net/united-states","Each of the 50 states has its own state flag. These appear frequently enough that they are worth learning."
"1744268189-76","https://www.plonkit.net/united-states","Shown here is a topographic map of the US. Most significant elevation is in the west: here you will find large mountain ranges, but also more flat, high plateaus. Some parts have lower elevation: good examples are the Central Valley and Imperial Valley in California.Elevation in the east is generally much lower. The most significant amount of elevation is found in the Appalachians, low mountain ranges running through the eastern and northeastern US. Good examples of hills in otherwise fairly flat regions are the Driftless Area in the Midwest, and The Ozarks in Missouri and Arkansas.You can click on the image to enlarge it."
"1744268189-77","https://www.plonkit.net/united-states","Shown here is a topographic map of the US."
"1744268189-78","https://www.plonkit.net/united-states","This is a forest density map of the contiguous United States. Eastern and Northern regions of the country typically have much denser tree cover than Western and Southwestern regions.You can click on the image to enlarge it."
"1744268189-79","https://www.plonkit.net/united-states","This is a forest density map of the contiguous United States. Eastern and Northern regions of the country typically have much denser tree cover than Western and Southwestern regions."
"1744268189-80","https://www.plonkit.net/united-states","Corn fields can most commonly be found in these regions. For a detailed overview, see this map."
"1744268189-81","https://www.plonkit.net/united-states","Soybeans are short, dark green crops organised in long rows and are found in similar regions where corn is grown. They are most common in the Eastern Plains, Midwest, Lower Mississippi Valley, and areas of the Mid Atlantic."
"1744268189-82","https://www.plonkit.net/united-states","Along the Canadian border in North Dakota, and rarely Montana, fields filled with short yellow canola flowers (Brassica napus) can commonly be seen from the road."
"1744268189-83","https://www.plonkit.net/united-states","Cotton is a crop that produces large fields of fluffy white flowers. It is most commonly produced in coastal Southeast States, the Lower Mississippi River Valley, Western Texas, and parts of California and Arizona. You can click here for a more detailed map."
"1744268189-84","https://www.plonkit.net/united-states","Rice production only occurs in a few areas of the US, so it is very useful for region guessing. It is typically grown in large, flat fields that resemble low prairies. It is only grown in north-central California and the Lower Mississippi River Valley in Arkansas, Louisiana, Texas, and Mississippi. You can click here for a more detailed map."
"1744268189-85","https://www.plonkit.net/united-states","Oil pumpjacks are short, industrial-looking metal structures located at the surface of oil fields and are used to pump crude oil from the earth below. They are most common in western states, particularly in Texas, Eastern New Mexico, and North Dakota."
"1744268189-86","https://www.plonkit.net/united-states","The Great Plains are in the middle of the United States and stretch from the Canadian border in the North, to central Texas in the South. This area is primarily flat with few trees. Some areas feature agriculture fields, while others feature dry and barren grassy fields."
"1744268189-87","https://www.plonkit.net/united-states","The area spanning from the Montana Border with Saskatchewan to the Western Great Lakes features many ‘prairie potholes.’ These are areas of low-lying wetlands that feature marshy grasses and small, shallow ponds."
"1744268189-88","https://www.plonkit.net/united-states","The Appalachian mountain range is a low mountain range that runs through the eastern states. The general landscape consists of low, forested mountains, with beech and oak trees being a common sight."
"1744268189-89","https://www.plonkit.net/united-states","The loblolly pine (Pinus taeda), and longleaf pine (Pinus palustris), commonly referred to as southern pines in the community, are found throughout the southeastern US. They are a great way to recognize this region, as they are abundant, recognizable and mostly limited to this part of the country. They tend to be tall, with fluffy-looking clusters of pine needles."
"1744268189-90","https://www.plonkit.net/united-states","Many parts of the Deep South, stretching from Oklahoma to South Carolina, have reddish soil. The exact tint of the soil can range from yellow to deep red."
"1744268189-91","https://www.plonkit.net/united-states","Grass that is used in lawns in the southern US (colloquially known as Bermuda and St. Augustine grasses) go dormant in the winter months. This causes the lawns to turn beige or light brown in winter; whereas grasses used in more northern areas of the US stay much greener in winter."
"1744268189-92","https://www.plonkit.net/united-states","The Lower Mississippi River Valley is a very flat and open landscape with red soil in areas of Tennessee, Arkansas, Mississippi, and Northeast Louisiana. Corn and other crops are common in this area."
"1744268189-93","https://www.plonkit.net/united-states","The area stretching from the Canadian border to Northern New Mexico is home to the Rocky Mountains. These jagged, rocky formations often feature many pine trees and visible snow all-year round at the highest peaks. Some areas of the Rocky Mountain Range are noticeably dry, with few trees."
"1744268189-94","https://www.plonkit.net/united-states","The Great Basin, centred around Nevada, can be recognized by the tall, sometimes snow-capped mountains in the background. There are dry, but grassy, and slightly shrubby plains leading up to the mountains."
"1744268189-95","https://www.plonkit.net/united-states","Great Basin Sagebrush (Artemisia tridentata) is a short, shrubby blue-green bush that is common in the interior western United States.It is most common in arid areas."
"1744268189-96","https://www.plonkit.net/united-states","Saguaro cacti are most commonly shaped like tall, straight tubes with several branches extending from the main tube. They are most commonly found in southern Arizona, on the Sonoran border."
"1744268189-97","https://www.plonkit.net/united-states","Extremely tall conifer trees (Douglas firs) with a dark brown bark, and dark green leaves, can most commonly be seen in Cascadia. Notably, they can also be found in northern California, Idaho and as far east as Montana."
"1744268189-98","https://www.plonkit.net/united-states","Temperate rainforests are found in coastal areas of Washington, Oregon, and Northern California. These rainforests feature many broadleaf trees, large conifers, and ferns."
"1744268189-99","https://www.plonkit.net/united-states","The Southwest, centred around the Four Corners region of Utah, Arizona, New Mexico, and Colorado, feature many mesas and tablelands. Often, these rock formations will be red in colour. Additionally, red soil is common in these areas."
"1744268189-100","https://www.plonkit.net/united-states","Palm trees are common in coastal areas of the Southeastern states, as well as the Desert Southwest region. Shown here is the Mexican Fan Palm, which is most common in California and along the Gulf Coast, but other palm tree types have a similar range."
"1744268189-101","https://www.plonkit.net/united-states","Just west of the metropolitan areas of Austin and San Antonio Texas lies a large area of dry, rocky hills featuring many yucca and prickly pear plants. Texas Live Oak trees are the predominant tree type in this area."
"1744268189-102","https://www.plonkit.net/united-states","The Rio Grande Valley in South Texas is extremely flat and features shrubby trees and agricultural fields. This area borders the Mexican state of Tamaulipas."
"1744268189-103","https://www.plonkit.net/united-states","Spanish moss, appearing as greyish white drapes, can sometimes be seen on trees in the deep south."
"1744268189-104","https://www.plonkit.net/united-states","Agricultural golden fields can commonly be seen in eastern Washington."
"1744268189-105","https://www.plonkit.net/united-states","Central Valley, California can be recognized by its Mediterranean climate. This is reflected in its agriculture, seen in the vineyards and olive trees that can commonly be found here."
"1744268189-106","https://www.plonkit.net/united-states","The Nebraska Sandhills are a recognizable region of rolling hills covered with prairie grass in the central-north part of the state."
"1744268189-107","https://www.plonkit.net/united-states","In the Appalachian area stretching from southern New York to southern Virginia, there are a lot of forest-covered rolling hills, with flat valleys dividing them. A majority of the ridges are oriented Southwest to Northeast."
"1744268189-108","https://www.plonkit.net/united-states","The Ouachita Mountains stretch from Eastern Oklahoma into West-Central Arkansas. Unlike the nearby Ozark Mountains, these mountains are typically more steep in nature and easier to see from a distance."
"1744268191-109","https://www.plonkit.net/united-kingdom","UK front plates are white, while back plates are yellow. Some plates have a blue strip on the left, but most do not.Additionally, you might see a plate with a green ‘Zero Emissions’ strip.NOTE: Ireland uses white front and back plates, always with a blue strip on the left."
"1744268191-110","https://www.plonkit.net/united-kingdom","UK front plates are white, while back plates are yellow. Some plates have a blue strip on the left, but most do not."
"1744268191-111","https://www.plonkit.net/united-kingdom","The UK drives on the left side of the road.NOTE: The UK, Ireland, and Malta are the only European countries that drive on the left."
"1744268191-112","https://www.plonkit.net/united-kingdom","The UK drives on the left side of the road."
"1744268191-113","https://www.plonkit.net/united-kingdom",": The UK, Ireland, and Malta are the only European countries that drive on the left."
"1744268191-114","https://www.plonkit.net/united-kingdom","Double yellow road lines are often found on the sides of marked roads, especially in urban areas. These lines indicate a no stopping zone.NOTE: These lines can also be found in Ireland."
"1744268191-115","https://www.plonkit.net/united-kingdom","Double yellow road lines are often found on the sides of marked roads, especially in urban areas. These lines indicate a no stopping zone."
"1744268191-116","https://www.plonkit.net/united-kingdom",": These lines can also be found in Ireland."
"1744268191-117","https://www.plonkit.net/united-kingdom","These middle lines, that consist of long dashes with cat’s eyes (reflectors) in the gaps between the dashes, are a good clue for the UK."
"1744268191-118","https://www.plonkit.net/united-kingdom","These middle lines, that consist of long dashes with cat’s eyes (reflectors) in the gaps between the dashes, are a good clue for the UK."
"1744268191-119","https://www.plonkit.net/united-kingdom","The most common bollard in the UK looks like this. It has a rounded shape, with a red reflector on the front and a white one on the back. The base and top are black, with a white stripe in the middle."
"1744268191-120","https://www.plonkit.net/united-kingdom","The most common bollard in the UK looks like this. It has a rounded shape, with a red reflector on the front and a white one on the back. The base and top are black, with a white stripe in the middle."
"1744268191-121","https://www.plonkit.net/united-kingdom","The UK uses wooden poles. Pole steps bolted on the side of the pole are very common. These pole steps are shaped like a series of thin horizontal metal rods.NOTE: Ireland also commonly uses wooden poles with pole steps."
"1744268191-122","https://www.plonkit.net/united-kingdom","The UK uses wooden poles. Pole steps bolted on the side of the pole are very common. These pole steps are shaped like a series of thin horizontal metal rods."
"1744268191-123","https://www.plonkit.net/united-kingdom",": Ireland also commonly uses wooden poles with pole steps."
"1744268191-124","https://www.plonkit.net/united-kingdom","Chevrons are black with white arrows.NOTE: Irish chevrons are black with yellow arrows. French chevrons are blue with white arrows."
"1744268191-125","https://www.plonkit.net/united-kingdom","Chevrons are black with white arrows."
"1744268191-126","https://www.plonkit.net/united-kingdom",": Irish chevrons are black with yellow arrows. French chevrons are blue with white arrows."
"1744268191-127","https://www.plonkit.net/united-kingdom","Like most European countries, the UK uses triangular warning signs with a red border and a white background.NOTE: This is mostly useful to distinguish between the UK and Ireland, as Ireland uses diamond-shaped yellow warning signs (being the only European country to do so)."
"1744268191-128","https://www.plonkit.net/united-kingdom","Like most European countries, the UK uses triangular warning signs with a red border and a white background."
"1744268191-129","https://www.plonkit.net/united-kingdom",": This is mostly useful to distinguish between the UK and Ireland, as Ireland uses diamond-shaped yellow warning signs (being the only European country to do so)."
"1744268191-130","https://www.plonkit.net/united-kingdom","Direction signs in the United Kingdom can be blue, green, or white.
Look for the letters A or M, as these are the major roads in the country. Smaller roads start with B.NOTE: Irish direction signs are typically bilingual, with Irish names in italics, making them easy to distinguish from the UK ones."
"1744268191-131","https://www.plonkit.net/united-kingdom","Direction signs in the United Kingdom can be blue, green, or white.
Look for the letters A or M, as these are the major roads in the country. Smaller roads start with B."
"1744268191-132","https://www.plonkit.net/united-kingdom",": Irish direction signs are typically bilingual, with Irish names in italics, making them easy to distinguish from the UK ones."
"1744268191-133","https://www.plonkit.net/united-kingdom","The UK commonly uses these white street signs with black text, that are positioned low to the ground. They are usually supported by two small posts. Many street signs in suburban areas will have a small cul-de-sac icon.They can sometimes have different colours or feature small designs, like coats of arms."
"1744268191-134","https://www.plonkit.net/united-kingdom","The UK commonly uses these white street signs with black text, that are positioned low to the ground. They are usually supported by two small posts. Many street signs in suburban areas will have a small cul-de-sac icon."
"1744268191-135","https://www.plonkit.net/united-kingdom","UK yield signs feature the phrase “GIVE WAY”.NOTE: Irish yields signs just have the word “YIELD”."
"1744268191-136","https://www.plonkit.net/united-kingdom","UK yield signs feature the phrase “GIVE WAY”."
"1744268191-137","https://www.plonkit.net/united-kingdom",":"
"1744268191-138","https://www.plonkit.net/united-kingdom","The yellow warning stickers on utility poles can be a good way to distinguish between the UK and Ireland.The most important difference is that UK stickers feature a guy getting zapped by a lightning bolt. The Irish stickers usually have a lightning bolt, but lack the guy getting zapped. They also often have an extra second rectangular sticker with a black outline, below the lightning bolt."
"1744268191-139","https://www.plonkit.net/united-kingdom","The yellow warning stickers on utility poles can be a good way to distinguish between the UK and Ireland."
"1744268191-140","https://www.plonkit.net/united-kingdom","This yellow traffic bollard is commonly found in the UK."
"1744268191-141","https://www.plonkit.net/united-kingdom","This yellow traffic bollard is commonly found in the UK."
"1744268191-142","https://www.plonkit.net/united-kingdom","Pedestrian crossing signs are almost non-existent in the UK. Instead, pedestrian crossings will often have these distinctive black and white striped poles, with a yellow light bulb on top.NOTE: These signposts are also common in Ireland."
"1744268191-143","https://www.plonkit.net/united-kingdom","Pedestrian crossing signs are almost non-existent in the UK. Instead, pedestrian crossings will often have these distinctive black and white striped poles, with a yellow light bulb on top."
"1744268191-144","https://www.plonkit.net/united-kingdom",": These signposts are also common in Ireland."
"1744268191-145","https://www.plonkit.net/united-kingdom","Rural metal gates with square corners are very common in the UK. NOTE: This is mainly useful to distinguish it from Ireland, where similar gates typically have rounded corners. Gates in Northern Ireland also typically have rounded corners."
"1744268191-146","https://www.plonkit.net/united-kingdom","Rural metal gates with square corners are very common in the UK."
"1744268191-147","https://www.plonkit.net/united-kingdom",": This is mainly useful to distinguish it from"
"1744268191-148","https://www.plonkit.net/united-kingdom","The British countryside tends to be very green, with lots of hedgerows lining the road. Low, rolling hills are common throughout most of the country.NOTE: The Irish countryside looks very similar, so make sure to look at other clues before guessing."
"1744268191-149","https://www.plonkit.net/united-kingdom","The British countryside tends to be very green, with lots of hedgerows lining the road. Low, rolling hills are common throughout most of the country."
"1744268191-150","https://www.plonkit.net/united-kingdom",": The Irish countryside looks very similar, so make sure to look at other clues before guessing."
"1744268191-151","https://www.plonkit.net/united-kingdom","Terraced houses (row houses) are very common in the UK. This housing type shares walls on both sides with neighbouring homes. You will also see a lot of semi-detached houses, which share just one side wall with another house.NOTE: 61% of the population lives in terraced or semi-detached houses, significantly more than most other European countries. The only European countries where terraced houses are this common are Ireland and the Netherlands."
"1744268191-152","https://www.plonkit.net/united-kingdom","Terraced houses (row houses) are very common in the UK. This housing type shares walls on both sides with neighbouring homes. You will also see a lot of semi-detached houses, which share just one side wall with another house."
"1744268191-153","https://www.plonkit.net/united-kingdom",":"
"1744268191-154","https://www.plonkit.net/united-kingdom","Red brick buildings are common in many parts of the UK.NOTE: Red brick architecture is also common in the Netherlands, Belgium, and Denmark, as well as parts of northern France."
"1744268191-155","https://www.plonkit.net/united-kingdom","Red brick buildings are common in many parts of the UK."
"1744268191-156","https://www.plonkit.net/united-kingdom",": Red brick architecture is also common in the Netherlands, Belgium, and Denmark, as well as parts of northern France."
"1744268191-157","https://www.plonkit.net/united-kingdom","Suburbs in UK towns tend to have a recognizable look. They typically feature near-identical houses, often semi-detached, usually with well-manicured lawns. The road layout can be maze-like, with lots of cul-de-sacs and curvy roads."
"1744268191-158","https://www.plonkit.net/united-kingdom","Suburbs in UK towns tend to have a recognizable look. They typically feature near-identical houses, often semi-detached, usually with well-manicured lawns. The road layout can be maze-like, with lots of cul-de-sacs and curvy roads."
"1744268191-159","https://www.plonkit.net/united-kingdom","Many British buildings have distinct-looking chimneys with multiple so-called chimney pots. These pots are usually round and brick-coloured."
"1744268191-160","https://www.plonkit.net/united-kingdom","Many British buildings have distinct-looking chimneys with multiple so-called chimney pots. These pots are usually round and brick-coloured."
"1744268191-161","https://www.plonkit.net/united-kingdom","Some buildings, both old and new, feature black-and-white timber framing.NOTE: This is less common in Ireland."
"1744268191-162","https://www.plonkit.net/united-kingdom","Some buildings, both old and new, feature black-and-white timber framing."
